,nh0003,sum
sargentón,2,2
pst,2,2
adioses,1,1
memnón,1,1
telémacos,1,1
tamborazos,1,1
sépase,1,1
soldadón,1,1
saltándoseme,1,1
redotas,1,1
randas,1,1
quedeme,1,1
pitazos,1,1
pervinca,1,1
payno,1,1
oprimírseme,1,1
inconocible,1,1
amatividad,1,1
guinderos,1,1
gallinón,1,1
francesca,1,1
flechadora,1,1
figuráseme,1,1
fierabrás,1,1
evas,1,1
estentor,1,1
copetona,1,1
chillantes,1,1
calzoneras,1,1
calipso,1,1
caballada,1,1
bonazo,1,1
ulises,1,1
