,nh0016,sum
bemba,22,22
rancheadores,19,19
castaneiro,18,18
sapristí,17,17
chonchón,14,14
magarabomba,13,13
robustiano,11,11
lutgarda,11,11
blasa,9,9
boulard,7,7
gravié,6,6
cazabero,5,5
apalencados,5,5
bambauck,4,4
cocuyo,3,3
chumba,3,3
sernos,3,3
rancheador,3,3
guasimal,3,3
semicupio,3,3
jagüey,3,3
lucumí,3,3
macochón,3,3
mulatico,3,3
ceuta,2,2
macuá,2,2
jigüey,2,2
jicaras,2,2
guardieros,2,2
güiro,2,2
mayorá,2,2
contramayoral,2,2
reloca,2,2
güiros,2,2
emprestaba,2,2
funche,2,2
comío,2,2
curpa,2,2
cachorrada,2,2
carabalíes,2,2
andáramos,2,2
caunabo,2,2
cazabe,2,2
arrastraa,2,2
carabalí,2,2
musiú,1,1
najasa,1,1
nebrija,1,1
yagruma,1,1
wakefield,1,1
negrazo,1,1
senegambia,1,1
nepomuceno,1,1
mulatazo,1,1
verdeto,1,1
venío,1,1
vendialma,1,1
nigricia,1,1
nochebuena,1,1
yarey,1,1
yeguanca,1,1
miriel,1,1
mersé,1,1
omnibusbono,1,1
marímbulas,1,1
zambumbia,1,1
marímbula,1,1
manzoni,1,1
malanga,1,1
zorzales,1,1
ñama,1,1
mahí,1,1
ñamaba,1,1
maddens,1,1
ñamaban,1,1
macbocón,1,1
tumbador,1,1
perdíos,1,1
orleans,1,1
tiéne,1,1
lös,1,1
redhibición,1,1
ricafort,1,1
riverones,1,1
toiticas,1,1
rodéanla,1,1
tallapiedra,1,1
pecto,1,1
rubicón,1,1
sío,1,1
séamos,1,1
sevicia,1,1
schiara,1,1
scipión,1,1
recítame,1,1
trentatré,1,1
tumbadero,1,1
ranchadores,1,1
radioso,1,1
píllete,1,1
puiga,1,1
pseudomatrimonio,1,1
profundis,1,1
probao,1,1
prentendió,1,1
porió,1,1
plagiadores,1,1
picarazada,1,1
pesquizas,1,1
pescao,1,1
persuación,1,1
alendado,1,1
improvisaor,1,1
lograo,1,1
cimarrona,1,1
catilina,1,1
cativía,1,1
caín,1,1
ceiba,1,1
cerquitica,1,1
chiquitico,1,1
cienojos,1,1
congos,1,1
casteneiro,1,1
consuetudinarios,1,1
conversaora,1,1
coposo,1,1
correl,1,1
cortaura,1,1
cuta,1,1
czar,1,1
catibía,1,1
castaneiró,1,1
llevao,1,1
bocabajo,1,1
aroden,1,1
artibuyó,1,1
auctor,1,1
aumentao,1,1
balzac,1,1
bambahuck,1,1
bembas,1,1
bocoy,1,1
carecientes,1,1
breña,1,1
buerto,1,1
busilis,1,1
cachizambos,1,1
calambuca,1,1
caniquí,1,1
caralimpia,1,1
decidora,1,1
dejao,1,1
derriscaderos,1,1
inquerido,1,1
habelidosa,1,1
herodoto,1,1
honráas,1,1
huanibacoa,1,1
huyete,1,1
húyete,1,1
amarradores,1,1
iturreberrigorrigoicoechea,1,1
desentrillaba,1,1
jagüeyes,1,1
jasta,1,1
jicara,1,1
jijo,1,1
langenio,1,1
lersundi,1,1
llamao,1,1
guiñaíta,1,1
guayana,1,1
goldsmith,1,1
gangá,1,1
desnuncaba,1,1
despabilaa,1,1
despachao,1,1
devorante,1,1
difrutado,1,1
edifíquese,1,1
enfuñingó,1,1
entoavía,1,1
entuavía,1,1
escambray,1,1
estao,1,1
estelionato,1,1
fascinerosos,1,1
fornallas,1,1
francé,1,1
ñamar,1,1
