,nh0040,sum
tomole,2,2
cambray,2,2
picaflores,2,2
destemido,2,2
humahuaca,2,2
acibaraba,1,1
puella,1,1
maltebrun,1,1
meléndez,1,1
montengon,1,1
ombúes,1,1
omnibus,1,1
poniatuski,1,1
propúsola,1,1
ptolomeo,1,1
racine,1,1
quod,1,1
radioso,1,1
recoba,1,1
resedá,1,1
rivarola,1,1
scévola,1,1
sócrates,1,1
tarija,1,1
toronjil,1,1
tresena,1,1
whitelocke,1,1
jujuy,1,1
herodoto,1,1
horacio,1,1
admirari,1,1
arabia,1,1
arístides,1,1
avertat,1,1
camalotes,1,1
catalinas,1,1
ceibo,1,1
chacarera,1,1
chacarero,1,1
charreteras,1,1
chateaubriand,1,1
chiclana,1,1
contole,1,1
coscojas,1,1
cucarda,1,1
cuotidiano,1,1
deas,1,1
educacionista,1,1
faltole,1,1
felipes,1,1
fuget,1,1
graco,1,1
haenke,1,1
hebé,1,1
yuyos,1,1
