,nh0158,sum
liñan,39,39
orrantia,33,33
rubalcabar,28,28
silao,21,21
stirling,16,16
bajío,11,11
rafols,11,11
villaseñor,11,11
maillefert,10,10
bradburn,8,8
estremadura,8,8
erdozains,8,8
barragan,6,6
aury,6,6
hoquedad,5,5
irapuato,5,5
galveston,4,4
apodaca,4,4
galicia,4,4
ardimiento,3,3
henessey,3,3
jacalero,3,3
ordoñez,3,3
puruándiro,3,3
espoz,3,3
adioses,3,3
perry,3,3
castañon,3,3
güero,2,2
haity,2,2
nautla,2,2
satanas,2,2
sardá,2,2
comanja,2,2
robinson,2,2
protejerá,2,2
dioles,2,2
espirante,2,2
dícese,2,2
galopina,2,2
peinetón,2,2
tlachiquera,2,2
tepeyac,2,2
zalea,2,2
alazan,2,2
vincennes,2,2
aiga,2,2
ibarra,2,2
vizcaya,2,2
huisaches,2,2
zarape,2,2
baltimore,2,2
lloron,2,2
orfeo,1,1
paladin,1,1
macbeth,1,1
lúcas,1,1
osorno,1,1
otumba,1,1
ovidio,1,1
orleans,1,1
montiya,1,1
paralelógramo,1,1
parenti,1,1
orbegozo,1,1
patois,1,1
lutero,1,1
peder,1,1
pedreguera,1,1
pedruzco,1,1
manequí,1,1
marota,1,1
oojió,1,1
manipostería,1,1
mudanas,1,1
mitrídates,1,1
mugeres,1,1
myers,1,1
mitridates,1,1
navio,1,1
negé,1,1
ngero,1,1
mitasas,1,1
norfolk,1,1
nubil,1,1
misino,1,1
oabaña,1,1
obregon,1,1
mirages,1,1
michoacan,1,1
ocotes,1,1
ognor,1,1
oidos,1,1
meis,1,1
monreal,1,1
acibarados,1,1
protejidas,1,1
pedruzcos,1,1
personage,1,1
simile,1,1
sitiarnos,1,1
sobrevenirte,1,1
solórzano,1,1
somes,1,1
sonsas,1,1
souchet,1,1
superbos,1,1
séale,1,1
teniento,1,1
tenoxtitlan,1,1
tereza,1,1
tezontles,1,1
thersites,1,1
tlapisquera,1,1
traiban,1,1
treviíio,1,1
truchimán,1,1
tráte,1,1
tulancingo,1,1
tósigo,1,1
ultrage,1,1
valia,1,1
veredear,1,1
victimas,1,1
virey,1,1
zaleas,1,1
zarapes,1,1
éntre,1,1
siam,1,1
sernos,1,1
segure,1,1
quevedo,1,1
petion,1,1
pierniquebraron,1,1
pinacate,1,1
pior,1,1
poce,1,1
porquenada,1,1
preferia,1,1
previsiva,1,1
protejida,1,1
lugarejo,1,1
protuberencia,1,1
proturbarme,1,1
páztcuaro,1,1
quintañona,1,1
scott,1,1
ramsay,1,1
randas,1,1
recibera,1,1
reido,1,1
repiquea,1,1
resgosa,1,1
resgoso,1,1
respectable,1,1
reverie,1,1
ruth,1,1
sacrficado,1,1
saforada,1,1
santander,1,1
lutecia,1,1
imurgenta,1,1
loaces,1,1
cuerudos,1,1
botijón,1,1
breñales,1,1
breñas,1,1
buho,1,1
busilis,1,1
caballada,1,1
caín,1,1
chafarrotes,1,1
chavacanos,1,1
chiclana,1,1
chuecas,1,1
cintilaban,1,1
clorosa,1,1
cnmplían,1,1
comercianta,1,1
consuetudinario,1,1
contestura,1,1
contraguerrilleros,1,1
contraidos,1,1
contramataran,1,1
cortahueste,1,1
creame,1,1
creia,1,1
creido,1,1
crian,1,1
crispante,1,1
croker,1,1
croque,1,1
cuacos,1,1
boston,1,1
biznagas,1,1
birloche,1,1
annis,1,1
adde,1,1
adefecios,1,1
ademado,1,1
aimard,1,1
albion,1,1
alemanisco,1,1
alfieri,1,1
amabilis,1,1
amanesca,1,1
amenzaban,1,1
amádole,1,1
américas,1,1
anadia,1,1
antidiluvianas,1,1
bayona,1,1
antiojos,1,1
aprevénganse,1,1
armifiaa,1,1
armifian,1,1
armiñánica,1,1
asinus,1,1
auréola,1,1
avenia,1,1
azulosa,1,1
azulosas,1,1
azuloso,1,1
babia,1,1
barretazo,1,1
cuande,1,1
córte,1,1
lisonjearnos,1,1
daly,1,1
galvez,1,1
gandallas,1,1
genízaros,1,1
geute,1,1
glorío,1,1
graham,1,1
guando,1,1
guato,1,1
gudiño,1,1
gustave,1,1
güeros,1,1
habráse,1,1
haiga,1,1
hebia,1,1
hennesey,1,1
heroismo,1,1
huisache,1,1
impedia,1,1
imperta,1,1
acércase,1,1
inalejo,1,1
indescribible,1,1
indía,1,1
insurgentas,1,1
interesentes,1,1
jas,1,1
lahorie,1,1
lardizabal,1,1
libertinage,1,1
gachuzos,1,1
gachupina,1,1
fuó,1,1
encargúense,1,1
dedes,1,1
demotos,1,1
descaecida,1,1
desdémona,1,1
detenia,1,1
devellare,1,1
disimúlesenos,1,1
disuadirme,1,1
dombre,1,1
donallo,1,1
douce,1,1
dpnde,1,1
embalde,1,1
encontraria,1,1
frementi,1,1
ensinada,1,1
eriazo,1,1
escándase,1,1
espensas,1,1
estáte,1,1
exclarad,1,1
excépticos,1,1
exhuberancia,1,1
expléndida,1,1
extrafias,1,1
fashionable,1,1
fierros,1,1
fozo,1,1
órdencs,1,1
