,nh0026,sum
hkín,50,50
thóo,39,39
itzalana,38,38
nahau,37,37
champotón,34,34
xchel,25,25
ixnacán,25,25
itzamatul,24,24
kabah,24,24
itzá,19,19
ahau,18,18
kupul,18,18
potonchán,17,17
zací,15,15
tulúm,14,14
balam,12,12
parajas,12,12
itzmal,12,12
kupules,12,12
chapab,11,11
batab,11,11
xibilbá,10,10
otzmal,10,10
cocomes,9,9
sacalum,9,9
tixpeual,9,9
confidenta,8,8
copal,8,8
kinchachauhabán,8,8
campech,7,7
kakmó,7,7
kinich,7,7
conil,7,7
kunab,7,7
kinchachauhaban,6,6
itzalanos,6,6
chilam,6,6
citbolontún,5,5
cozumel,5,5
sulú,5,5
katún,5,5
kakupacat,5,5
xul,4,4
soberanis,4,4
hziyah,4,4
balché,3,3
tahmay,3,3
itzalano,2,2
ranfla,2,2
puñadas,2,2
lugarejos,2,2
kúes,2,2
hná,2,2
kukulcán,2,2
salvos,2,2
oxkutzcab,2,2
holpop,2,2
panabchén,2,2
kaanab,2,2
petenitzá,2,2
plegue,2,2
mool,2,2
consejas,2,2
tunkules,2,2
balbució,2,2
cuzamail,2,2
balzán,2,2
chichén,2,2
tekit,2,2
albarradas,2,2
aké,2,2
xchebelyax,1,1
patzin,1,1
pecadorazos,1,1
xazaluoh,1,1
xiús,1,1
xkinxooc,1,1
pacab,1,1
paak,1,1
sanctorum,1,1
xlab,1,1
volvies,1,1
xocbitún,1,1
yaax,1,1
yax,1,1
yaxun,1,1
yaá,1,1
ofrecérseme,1,1
ocná,1,1
nahuat,1,1
yucatecos,1,1
méndigo,1,1
vuesas,1,1
ulobol,1,1
ultrajarme,1,1
pencuyut,1,1
mitla,1,1
rivadeneira,1,1
retiráos,1,1
regrésate,1,1
recalde,1,1
sobrevenirnos,1,1
rampla,1,1
stephens,1,1
primogenitores,1,1
posternará,1,1
tancah,1,1
teabo,1,1
poot,1,1
pocboc,1,1
tenocique,1,1
tienenme,1,1
tipilkal,1,1
poboc,1,1
tucuch,1,1
tuyú,1,1
pluguiera,1,1
uaymax,1,1
seibo,1,1
semblantee,1,1
ademan,1,1
marcháos,1,1
catoche,1,1
centellantes,1,1
ceres,1,1
chiapas,1,1
chichen,1,1
chuburná,1,1
chumayel,1,1
cintarazo,1,1
cintarear,1,1
citbolotún,1,1
comarcanos,1,1
combal,1,1
couat,1,1
cuitada,1,1
cunché,1,1
cáan,1,1
caán,1,1
casaucha,1,1
maldecirás,1,1
borceguís,1,1
ajataf,1,1
albarrada,1,1
alcalá,1,1
apersonaros,1,1
apostrofarnos,1,1
aprontaos,1,1
arrobadora,1,1
atambores,1,1
atarantado,1,1
bakhalal,1,1
baklal,1,1
balzames,1,1
bastimentos,1,1
batabes,1,1
bolonchenticul,1,1
desampararnos,1,1
disuadirme,1,1
dzilam,1,1
egida,1,1
jabín,1,1
john,1,1
judea,1,1
aguilan,1,1
kayáb,1,1
kinchachuaban,1,1
koché,1,1
komchén,1,1
kuchil,1,1
kukul,1,1
kupúl,1,1
lanoche,1,1
leec,1,1
llevies,1,1
locomotivas,1,1
izamal,1,1
itzamal,1,1
importunarme,1,1
gregüescos,1,1
escrudiñar,1,1
españas,1,1
espúreos,1,1
explicáos,1,1
frailecico,1,1
gentílico,1,1
grijalva,1,1
hubiéredes,1,1
habérseme,1,1
hchum,1,1
hchuy,1,1
hchún,1,1
hkinxooc,1,1
hkukil,1,1
zeec,1,1
