,nh0035,sum
zamba,28,28
fiscala,24,24
sinforoso,23,23
gonzalvo,19,19
suttonhall,18,18
mamapanki,17,17
paltas,13,13
lentini,12,12
serapio,11,11
pachacamac,10,10
antuca,10,10
arequipa,8,8
sinchiloya,8,8
daute,8,8
huincas,7,7
pizarros,7,7
pasha,7,7
e'ñor,6,6
aterrante,6,6
willy,5,5
morgrovejo,5,5
italiam,5,5
argensola,5,5
onetto,5,5
manrique,4,4
rimac,4,4
essex,4,4
nugæ,4,4
zonga,4,4
cartesio,4,4
argumentum,3,3
leicester,3,3
farinacio,3,3
cuartejo,3,3
cuitado,3,3
tigra,3,3
docel,3,3
tocalla,3,3
pluguiera,3,3
contramaestra,3,3
satanas,3,3
cholos,3,3
hawkins,3,3
jordán,3,3
cagafuego,3,3
zambaclueca,3,3
seraficus,3,3
marcelín,3,3
necque,3,3
panchurro,3,3
residet,2,2
sicilia,2,2
reflección,2,2
secumdum,2,2
conclamat,2,2
conceptuoso,2,2
crux,2,2
cortinado,2,2
consumptum,2,2
contaminatum,2,2
repantigó,2,2
contristado,2,2
denante,2,2
ramada,2,2
persecusiones,2,2
prócida,2,2
noviasco,2,2
lepanto,2,2
lesæ,2,2
justorum,2,2
majestatis,2,2
interdicción,2,2
marceline,2,2
medium,2,2
memorandum,2,2
minorem,2,2
mordiscones,2,2
impii,2,2
ilma,2,2
oidme,2,2
principium,2,2
homes,2,2
ordoño,2,2
ferracarruja,2,2
farmaceuta,2,2
eustaquio,2,2
pestilens,2,2
escovedo,2,2
endija,2,2
porende,2,2
eboli,2,2
primus,2,2
domus,2,2
soárez,2,2
damn,2,2
tudor,2,2
atque,2,2
torquemada,2,2
balbució,2,2
torbo,2,2
ulloa,2,2
vitæ,2,2
apocalipsis,2,2
videmus,2,2
utroque,2,2
almagros,2,2
valdez,2,2
anathema,2,2
bribonazo,2,2
borrachón,2,2
benjuí,2,2
amplectitur,2,2
winter,2,2
borbón,2,2
caribdis,2,2
trascordado,2,2
árganas,2,2
ovidio,1,1
pacis,1,1
utriusque,1,1
pelícanorepetían,1,1
pacha,1,1
oígalos,1,1
oviesses,1,1
oviessemos,1,1
pelícanotodos,1,1
otrosi,1,1
padesce,1,1
pelícanoy,1,1
peribit,1,1
onytre,1,1
permanebit,1,1
tunales,1,1
valet,1,1
oneto,1,1
peros,1,1
pelícanoque,1,1
untcha,1,1
tunc,1,1
pelícanodel,1,1
pecatus,1,1
peccatores,1,1
tuvistes,1,1
peaña,1,1
pazión,1,1
peccatorum,1,1
pedantezcas,1,1
pax,1,1
ubinan,1,1
patientis,1,1
pedrones,1,1
omnia,1,1
passionalibus,1,1
pelícanocon,1,1
pasiente,1,1
pashá,1,1
unde,1,1
parcere,1,1
paradade,1,1
patescunt,1,1
suffolk,1,1
omne,1,1
olimpia,1,1
volidos,1,1
mantua,1,1
mantazos,1,1
volvámosnos,1,1
vox,1,1
manotéandola,1,1
manfredo,1,1
malignus,1,1
yuyos,1,1
malfetria,1,1
zaherirme,1,1
maguer,1,1
magrujos,1,1
magistraliter,1,1
zorna,1,1
macisa,1,1
læto,1,1
lutero,1,1
lurin,1,1
lope,1,1
zota,1,1
llevandocantidades,1,1
lisonjearnos,1,1
leviester,1,1
ñorrr,1,1
voi,1,1
materialem,1,1
matirizaros,1,1
mostruosa,1,1
validejo,1,1
pertinaciter,1,1
oculos,1,1
nínive,1,1
valverdes,1,1
vanitatum,1,1
vejámenes,1,1
nevit,1,1
narrante,1,1
mutantur,1,1
murum,1,1
ventus,1,1
meceta,1,1
morem,1,1
venusque,1,1
mordizcón,1,1
viii,1,1
montaigne,1,1
mogrovejo,1,1
meum,1,1
mercolina,1,1
mensidad,1,1
vizcaya,1,1
vobiscum,1,1
ogni,1,1
petrusque,1,1
pestañeadores,1,1
tucuyú,1,1
scotto,1,1
satanicus,1,1
sétimo,1,1
sanchesca,1,1
salvémosnos,1,1
salvos,1,1
salutant,1,1
tamquam,1,1
tantum,1,1
saccum,1,1
rubicundum,1,1
rubescebat,1,1
rojana,1,1
tapadasque,1,1
rezantes,1,1
reverendísime,1,1
reverendisime,1,1
reunírsenos,1,1
tavy,1,1
taíta,1,1
tedeum,1,1
retemplase,1,1
resurjent,1,1
resolutive,1,1
teneo,1,1
scribatur,1,1
surtú,1,1
secundi,1,1
sonsacarme,1,1
subtilis,1,1
substantia,1,1
subjectis,1,1
suaviter,1,1
stewart,1,1
stetit,1,1
stellis,1,1
spirate,1,1
suis,1,1
sostituyeron,1,1
sostituir,1,1
solum,1,1
semimilitar,1,1
socii,1,1
sión,1,1
sistemar,1,1
sumus,1,1
sinemnar,1,1
superbos,1,1
supernaturalis,1,1
supersedeo,1,1
supradicho,1,1
sentientis,1,1
semiramis,1,1
tenudo,1,1
requireretur,1,1
rengueando,1,1
poseción,1,1
projicit,1,1
procul,1,1
probatum,1,1
probatio,1,1
priviano,1,1
torricos,1,1
prez,1,1
prendición,1,1
premuniré,1,1
potentia,1,1
traelas,1,1
traelo,1,1
proprium,1,1
pollerines,1,1
trascordada,1,1
playmouth,1,1
placería,1,1
trastrono,1,1
pindo,1,1
picaflores,1,1
sudamérica,1,1
tronquera,1,1
pestilentæ,1,1
truncha,1,1
proprio,1,1
prosperabuntur,1,1
remitámosnos,1,1
reenclinación,1,1
remarcables,1,1
terræ,1,1
relationes,1,1
tetudo,1,1
regalonazo,1,1
refutationes,1,1
tieza,1,1
reflecciones,1,1
refleccionar,1,1
refleccionando,1,1
tiezas,1,1
recompensaros,1,1
timoclea,1,1
timbirimbade,1,1
raleigh,1,1
quæcunque,1,1
quæ,1,1
quum,1,1
quoniam,1,1
timeo,1,1
quod,1,1
púsole,1,1
puñalean,1,1
pulvis,1,1
abancay,1,1
injudicio,1,1
lealdad,1,1
chingana,1,1
chancu,1,1
changadores,1,1
chasqui,1,1
che'intrate,1,1
chichapara,1,1
