,nh0166,sum
bonneau,39,39
hartmann,39,39
fortuné,35,35
sidonie,33,33
cintra,28,28
mosié,28,28
chimbí,24,24
garriga,17,17
mersé,14,14
musiú,13,13
zephir,13,13
antoniá,12,12
virginius,11,11
mambisa,11,11
sacré,9,9
mambises,7,7
yarey,7,7
lersundi,6,6
yarayó,6,6
ñames,6,6
escandell,5,5
calembour,5,5
roschilss,5,5
tivolí,5,5
jip,5,5
musié,5,5
ravenet,4,4
chien,4,4
mija,4,4
espagnol,4,4
contras,4,4
refaccionistas,4,4
sabijondo,4,4
mademoiselle,4,4
dieu,4,4
suis,4,4
nochebuena,4,4
fry,4,4
teodulo,4,4
capitaine,3,3
joseíllo,3,3
carretonero,3,3
macotudo,3,3
sinsonte,3,3
pesón,3,3
miamo,3,3
guásima,3,3
regaños,3,3
cuerera,3,3
dessalines,3,3
diole,3,3
pasao,3,3
pauline,3,3
cochon,3,3
jigüera,3,3
íbase,3,3
ça,3,3
coup,2,2
à,2,2
garçons,2,2
gredin,2,2
nepomuceno,2,2
cigale,2,2
avemaria,2,2
babul,2,2
gásquez,2,2
retuércense,2,2
chanté,2,2
semilúcido,2,2
hácele,2,2
idalie,2,2
bayamesa,2,2
aguilera,2,2
sitges,2,2
fuele,2,2
copley,2,2
bembeta,2,2
fortune,2,2
yara,2,2
arrebol,2,2
deux,2,2
pinaud,2,2
annie,2,2
quand,2,2
anisado,2,2
decididora,2,2
datileros,2,2
cuje,2,2
anaya,2,2
patrie,2,2
refaccionista,2,2
vuélvese,2,2
rellollo,2,2
capuz,2,2
déjase,2,2
calalú,2,2
benedictine,2,2
bravia,2,2
jour,2,2
manacas,2,2
lugarón,2,2
agnés,2,2
tiñón,2,2
adieu,2,2
lecanda,2,2
cambute,2,2
paix,1,1
paseíto,1,1
pereira,1,1
perdrix,1,1
pegao,1,1
peabody,1,1
êtes,1,1
mambisas,1,1
été,1,1
yucas,1,1
pansá,1,1
orleáns,1,1
mamarracheo,1,1
orléans,1,1
padeceres,1,1
mangé,1,1
zarabanda,1,1
persón,1,1
menagère,1,1
pesao,1,1
mamarrachado,1,1
pollonas,1,1
mais,1,1
pluraba,1,1
pleyel,1,1
maison,1,1
placeros,1,1
placeril,1,1
pillines,1,1
picao,1,1
yerbamora,1,1
piastre,1,1
peñaranda,1,1
maisí,1,1
peyeú,1,1
petits,1,1
maladi,1,1
petiton,1,1
malangas,1,1
olvídase,1,1
opimos,1,1
marceline,1,1
ojoo,1,1
montunazos,1,1
maschacebé,1,1
ándese,1,1
murí,1,1
muché,1,1
était,1,1
mouche,1,1
école,1,1
moriviví,1,1
morceau,1,1
monsoreau,1,1
álzanse,1,1
masone,1,1
minière,1,1
égalité,1,1
mientos,1,1
matanegro,1,1
mayordomá,1,1
mesitera,1,1
éntrese,1,1
mct,1,1
álzase,1,1
mascavidrios,1,1
octavie,1,1
noblet,1,1
menagere,1,1
zoroastro,1,1
margrit,1,1
négrillons,1,1
nuvel,1,1
noy,1,1
mariá,1,1
ábrense,1,1
maroto,1,1
marseillaise,1,1
poulet,1,1
nipe,1,1
maruca,1,1
negués,1,1
natchez,1,1
marío,1,1
même,1,1
máter,1,1
muévese,1,1
muévense,1,1
musset,1,1
vejámenes,1,1
pouvez,1,1
suripanta,1,1
substituyele,1,1
subscriptos,1,1
sové,1,1
soveli,1,1
soulié,1,1
sotí,1,1
sorellé,1,1
vigny,1,1
viii,1,1
siboney,1,1
seul,1,1
semirreligioso,1,1
seminorteamericano,1,1
semilúcida,1,1
semiimbecilidad,1,1
semifrancés,1,1
semicubría,1,1
semiaplomado,1,1
semaine,1,1
savoneta,1,1
savarin,1,1
sauvages,1,1
santé,1,1
salvos,1,1
viradera,1,1
sureta,1,1
susane,1,1
pov,1,1
tabal,1,1
vaillant,1,1
unique,1,1
ulysse,1,1
tuntun,1,1
trouva,1,1
venue,1,1
tropelozo,1,1
tropeloso,1,1
tristán,1,1
trinadoras,1,1
traspatio,1,1
tranquildiad,1,1
tous,1,1
tontica,1,1
tixeras,1,1
vermiceau,1,1
tigoave,1,1
viccino,1,1
temps,1,1
temorosa,1,1
taurus,1,1
talavera,1,1
tajonas,1,1
taburetico,1,1
victoire,1,1
ráspase,1,1
voit,1,1
rállese,1,1
ryan,1,1
reclutadores,1,1
rebrillaban,1,1
xii,1,1
rayine,1,1
xiii,1,1
raspail,1,1
racine,1,1
quédase,1,1
quosque,1,1
quirós,1,1
quichotte,1,1
púsola,1,1
páralizado,1,1
puñada,1,1
puchas,1,1
prán,1,1
valmaseda,1,1
prusia,1,1
prosternada,1,1
prosperité,1,1
prometeo,1,1
prohibo,1,1
prescriptos,1,1
prescripto,1,1
predicarnos,1,1
willei,1,1
refalsado,1,1
remanganaguas,1,1
rofignac,1,1
ruinée,1,1
rouge,1,1
rosignoles,1,1
rosette,1,1
voleurs,1,1
voulez,1,1
voulu,1,1
roret,1,1
ronron,1,1
roland,1,1
rojinegra,1,1
rnosié,1,1
madona,1,1
rivé,1,1
rivière,1,1
reúnense,1,1
retiénela,1,1
vraie,1,1
ressentiment,1,1
resedá,1,1
reprobo,1,1
reniegos,1,1
remora,1,1
remington,1,1
xiv,1,1
achette,1,1
lúculo,1,1
carabalí,1,1
celsis,1,1
ceiba,1,1
cebollín,1,1
categorí,1,1
catedrá,1,1
catastrófe,1,1
cataluña,1,1
cataloño,1,1
carretoneros,1,1
carmagnole,1,1
caridá,1,1
caribe,1,1
caresé,1,1
canga,1,1
lánzase,1,1
canaán,1,1
canarreos,1,1
canaille,1,1
camille,1,1
cambronne,1,1
camagüeyano,1,1
callipso,1,1
calis,1,1
caliginoso,1,1
caharrán,1,1
cafetalistas,1,1
cachorrería,1,1
cabedla,1,1
cencerril,1,1
ceremoni,1,1
cerúleo,1,1
chachá,1,1
corbacho,1,1
conviértese,1,1
conversadle,1,1
contoneos,1,1
continúalo,1,1
consuetudinario,1,1
consoler,1,1
conosc,1,1
conmigó,1,1
compère,1,1
comprovinciano,1,1
complimán,1,1
comment,1,1
cometón,1,1
cocuyos,1,1
cinq,1,1
cimarrona,1,1
choncholíes,1,1
cholla,1,1
chocarrero,1,1
chiqueaba,1,1
chevalier,1,1
chauvin,1,1
chauchau,1,1
chateaubriand,1,1
charge,1,1
chachás,1,1
cabayerro,1,1
bêtes,1,1
bájase,1,1
atardecía,1,1
arómales,1,1
arrivé,1,1
arristocracia,1,1
arrenquín,1,1
arrellanado,1,1
argenteaba,1,1
apílanse,1,1
apoplético,1,1
antonieta,1,1
amenguase,1,1
amaury,1,1
amarilloso,1,1
allons,1,1
allait,1,1
alfalacas,1,1
alcoleístas,1,1
alcoleas,1,1
alboreante,1,1
ajiaco,1,1
agítase,1,1
agítanse,1,1
aguazales,1,1
aggy,1,1
agestas,1,1
afioses,1,1
adoloridos,1,1
adelántase,1,1
aspeado,1,1
auméntase,1,1
burriel,1,1
avalizaba,1,1
burricos,1,1
buniatera,1,1
buniat,1,1
bulé,1,1
brillat,1,1
bretañó,1,1
bravio,1,1
bottino,1,1
bory,1,1
borceguíes,1,1
borborigmos,1,1
bonjour,1,1
bondosidad,1,1
bombalier,1,1
boileau,1,1
bocoyes,1,1
bocabajo,1,1
blancusa,1,1
bises,1,1
bise,1,1
betancourt,1,1
beranger,1,1
bayate,1,1
bailén,1,1
azuloso,1,1
azulosas,1,1
avant,1,1
corneille,1,1
cortapapel,1,1
costarte,1,1
húyete,1,1
háble,1,1
hués,1,1
hornallas,1,1
honte,1,1
hijica,1,1
hierbazales,1,1
hartemán,1,1
hamareda,1,1
gólgota,1,1
guásimas,1,1
guto,1,1
guerre,1,1
guantanamó,1,1
guamo,1,1
guajaca,1,1
guafe,1,1
grève,1,1
grrran,1,1
gredins,1,1
gobierrío,1,1
garoz,1,1
futilezas,1,1
fustete,1,1
fuetazos,1,1
froget,1,1
fraternité,1,1
français,1,1
húndese,1,1
infidencia,1,1
frans,1,1
inmoble,1,1
littéraire,1,1
lieux,1,1
leónidas,1,1
levée,1,1
levántase,1,1
lesseps,1,1
leontina,1,1
legalée,1,1
leclerc,1,1
lecbo,1,1
laisser,1,1
lagrolet,1,1
lafontaine,1,1
lafayette,1,1
laches,1,1
lache,1,1
kepis,1,1
juir,1,1
juanes,1,1
jolongo,1,1
acércase,1,1
jerusalén,1,1
jelé,1,1
jagüey,1,1
irà,1,1
insureltos,1,1
inperceptibles,1,1
fransé,1,1
framboyán,1,1
courrier,1,1
diforme,1,1
devoes,1,1
detúvole,1,1
detiénese,1,1
desvívese,1,1
desvarios,1,1
destresse,1,1
dessaline,1,1
deslízanse,1,1
desencalar,1,1
desencala,1,1
desarmonía,1,1
derrúmbase,1,1
depué,1,1
demajagua,1,1
decididor,1,1
dalena,1,1
dajao,1,1
cúbrese,1,1
culotte,1,1
cuereras,1,1
cuaba,1,1
