,nh0066,sum
cartajena,43,43
pinoverde,36,36
temístocles,34,34
semíramis,28,28
cleopatra,26,26
testaferrata,15,15
renard,14,14
bandolini,13,13
dracon,10,10
lefevre,10,10
trastamara,10,10
pepin,9,9
rimeron,8,8
trieste,7,7
aquíles,6,6
temistocles,5,5
westminster,5,5
john,5,5
angeles,5,5
postilion,5,5
buffon,5,5
ademas,5,5
aereonauta,5,5
panticosa,5,5
urgando,4,4
morfeo,4,4
maravedises,4,4
galarza,4,4
genova,4,4
valentin,4,4
turin,4,4
canticio,3,3
madrigaleños,3,3
cornhill,3,3
bayona,3,3
caín,3,3
creso,3,3
trifon,3,3
nefas,3,3
lavater,3,3
quevedo,3,3
xochimilco,3,3
calígula,3,3
gascuña,3,3
viii,3,3
square,3,3
mericourt,3,3
vitoria,3,3
calais,3,3
interpelante,3,3
desconocernos,2,2
thomás,2,2
osteril,2,2
fidias,2,2
caribdis,2,2
rodrigos,2,2
rotschild,2,2
cantárida,2,2
cambises,2,2
calzonroto,2,2
corneille,2,2
socaliñero,2,2
coriolano,2,2
horacio,2,2
penélope,2,2
grouchy,2,2
guadarrama,2,2
smithes,2,2
córte,2,2
soult,2,2
southampton,2,2
strasburgo,2,2
oyeme,2,2
comerce,2,2
holofernes,2,2
buitrago,2,2
convalescencia,2,2
sibarismo,2,2
cavaleta,2,2
ostrófagos,2,2
figüeroa,2,2
catalepsis,2,2
persuación,2,2
sócrates,2,2
soconusco,2,2
rubini,2,2
talion,2,2
carocas,2,2
supérfluos,2,2
maroto,2,2
moriani,2,2
white,2,2
mozalvetes,2,2
mirecourt,2,2
quisque,2,2
vastago,2,2
arapiles,2,2
lamparoni,2,2
verrugo,2,2
yezca,2,2
albuera,2,2
ebro,2,2
montalvo,2,2
leví,2,2
vincennes,2,2
próroga,2,2
portland,2,2
viveron,2,2
monises,2,2
lorca,2,2
essex,2,2
murat,2,2
judio,2,2
truan,2,2
maquiavelo,2,2
infraganti,2,2
brevajes,2,2
brevaje,2,2
brenno,2,2
dessaix,2,2
faetonte,2,2
bolena,2,2
trastamaras,2,2
espediente,2,2
tudela,2,2
ludovico,2,2
rhin,2,2
diletantes,2,2
turuleque,2,2
támesis,2,2
zarate,2,2
ulises,2,2
país'nos,1,1
prodigalidades,1,1
pax,1,1
prohíjo,1,1
proferia,1,1
peel,1,1
patencur,1,1
principe,1,1
prodijiosa,1,1
pimpolio,1,1
prehendió,1,1
policia,1,1
pichegru,1,1
piccolomini,1,1
peus,1,1
piscolavis,1,1
pitágoras,1,1
policeman,1,1
populariedad,1,1
perchel,1,1
porfin,1,1
peros,1,1
pilato,1,1
peregila,1,1
porquc,1,1
perdiosero,1,1
pascaba,1,1
ostende,1,1
parecia,1,1
parasoltar,1,1
neron,1,1
nenguno,1,1
nelson,1,1
navios,1,1
navio,1,1
nabucodonosor,1,1
nabera,1,1
móstoles,1,1
muv,1,1
mosáico,1,1
mortificantes,1,1
morfosear,1,1
moratin,1,1
montgomery,1,1
montalembert,1,1
monmonth,1,1
monestaciones,1,1
momentó,1,1
misino,1,1
miscroscopio,1,1
mirabeau,1,1
metternich,1,1
merovíngea,1,1
mejurges,1,1
massena,1,1
ney,1,1
