,nh0096,sum
heloisa,3,3
illimani,3,3
aquesa,2,2
ayacucho,2,2
leela,2,2
preux,2,2
acusate,1,1
pacay,1,1
vuelveme,1,1
vieille,1,1
unisón,1,1
tarija,1,1
rímini,1,1
rosto,1,1
rigoroso,1,1
reflexiónalo,1,1
lancelot,1,1
lovelace,1,1
aimará,1,1
junin,1,1
julieta,1,1
inmoble,1,1
facticios,1,1
estrópicos,1,1
cotaña,1,1
albums,1,1
zig,1,1
