,nh0048,sum
laurentina,38,38
damasia,35,35
pablos,17,17
esquendo,12,12
arminda,8,8
sangil,7,7
catalinas,6,6
maipú,4,4
melbourne,4,4
paúl,4,4
petizo,3,3
ginesa,3,3
picazo,3,3
retahila,2,2
chiribitil,2,2
cáfila,2,2
demasías,2,2
sobrepelliz,2,2
pantaleona,2,2
candiel,2,2
maltanes,2,2
belgranense,2,2
zaldívar,2,2
panfilo,1,1
ocurrirme,1,1
odorífera,1,1
onsola,1,1
vivendi,1,1
vieta,1,1
pandora,1,1
sosona,1,1
mulatín,1,1
ultraterreno,1,1
tílburi,1,1
paseíto,1,1
pater,1,1
patoja,1,1
nefas,1,1
morírseme,1,1
pelafustán,1,1
monín,1,1
monreal,1,1
modus,1,1
modietiles,1,1
yantar,1,1
medico,1,1
medicazo,1,1
mayando,1,1
maulla,1,1
matildica,1,1
marisabia,1,1
éso,1,1
tusados,1,1
pequeñín,1,1
sombrerón,1,1
perdidosa,1,1
tafi,1,1
sobrarme,1,1
tantico,1,1
soberbie,1,1
siempreviva,1,1
seguíle,1,1
sealo,1,1
tatá,1,1
salgadistas,1,1
rollizota,1,1
tenducho,1,1
titeo,1,1
repartija,1,1
regordetón,1,1
recadista,1,1
punzarme,1,1
puerperal,1,1
prohibo,1,1
marcancías,1,1
tragapapas,1,1
portillón,1,1
ponérseme,1,1
pillastrón,1,1
trigaleña,1,1
trigaleños,1,1
trujillistas,1,1
perdidosos,1,1
aberenjenada,1,1
infundirnos,1,1
leíjtor,1,1
catequizarme,1,1
britano,1,1
bullehulle,1,1
cacumen,1,1
candombe,1,1
canturía,1,1
catacumba,1,1
caúsame,1,1
benjuí,1,1
chafaduras,1,1
chicoleos,1,1
cirineo,1,1
comiquería,1,1
concluído,1,1
contos,1,1
bicharraco,1,1
belgranenses,1,1
italianota,1,1
animalejo,1,1
adulterinas,1,1
ajite,1,1
algimas,1,1
amarillosa,1,1
amenes,1,1
amenguado,1,1
anubarrado,1,1
bastota,1,1
apagándoseme,1,1
apicarados,1,1
aquilas,1,1
asoleaduras,1,1
atufarme,1,1
basquina,1,1
contristada,1,1
corralón,1,1
curiosones,1,1
idealizarte,1,1
gordio,1,1
graciana,1,1
habemos,1,1
hablabamos,1,1
habráse,1,1
hacérseme,1,1
ignorantón,1,1
decidora,1,1
impoderables,1,1
importárseme,1,1
infanzón,1,1
inficionada,1,1
acerqúese,1,1
insubstituible,1,1
golpetazo,1,1
fluxión,1,1
familiæ,1,1
faldamenta,1,1
estanislada,1,1
espronceda,1,1
ensartarme,1,1
enjaularme,1,1
eneistas,1,1
déspotas,1,1
disuadirme,1,1
disfavor,1,1
diretes,1,1
deshancado,1,1
demontre,1,1
deliquio,1,1
decolación,1,1
íes,1,1
