,nh0219,sum
mashorquero,15,15
cuja,7,7
recoba,6,6
mashorqueros,3,3
sábelo,2,2
punzoes,2,2
alegatas,1,1
preguntole,1,1
maldecirá,1,1
marhorqueros,1,1
mereades,1,1
morféo,1,1
o'gorman,1,1
proscripto,1,1
prohiben,1,1
impediata,1,1
provence,1,1
rafaeles,1,1
sejas,1,1
tahur,1,1
tomolo,1,1
trigüeño,1,1
linca,1,1
hipócrates,1,1
almivaradas,1,1
gordiano,1,1
alsina,1,1
badia,1,1
batón,1,1
buckingam,1,1
busilis,1,1
carjada,1,1
casteli,1,1
cerrajó,1,1
charreteras,1,1
cirúrjicos,1,1
clavelinas,1,1
cudras,1,1
célico,1,1
dulcificante,1,1
dulcinéa,1,1
empireo,1,1
felonia,1,1
flatricida,1,1
galges,1,1
vandalaje,1,1
