,nh0054,sum
baltar,38,38
yanzón,36,36
jacha,8,8
zamba,7,7
villafañe,7,7
habra,6,6
chacarera,6,6
chavarría,5,5
charque,5,5
angaco,5,5
sañogasta,4,4
ilisca,4,4
coneta,4,4
montonereando,4,4
pringles,4,4
agenor,4,4
armones,4,4
videla,4,4
reinafé,3,3
vinchina,3,3
catamarqueño,3,3
sernos,3,3
sucederte,3,3
zambas,3,3
caballada,3,3
arriador,3,3
marchero,2,2
ponchazo,2,2
arrobado,2,2
arrobadora,2,2
oncativo,2,2
sabés,2,2
sacudón,2,2
saltante,2,2
atenmeló,2,2
anisado,2,2
vejámenes,2,2
atile,2,2
caballadas,2,2
chocolata,2,2
bargas,2,2
bolsazo,2,2
chacareras,2,2
montonerear,1,1
patriada,1,1
patay,1,1
paseíto,1,1
mojiganzas,1,1
parejeros,1,1
yapa,1,1
moretoneado,1,1
odiosidad,1,1
montonerea,1,1
pilchado,1,1
pesotes,1,1
vitorió,1,1
pinchante,1,1
preponderación,1,1
presidiarias,1,1
pruebista,1,1
quirogas,1,1
vivando,1,1
receptorio,1,1
remarcable,1,1
sacudones,1,1
yaco,1,1
sorpresores,1,1
maneadores,1,1
sui,1,1
tenés,1,1
tigra,1,1
rebenqueadura,1,1
afilate,1,1
maneador,1,1
mandale,1,1
devorantes,1,1
dejés,1,1
degüellos,1,1
crotonianos,1,1
costarte,1,1
coronelato,1,1
copetudo,1,1
convulsionamientos,1,1
comportación,1,1
chachoooo,1,1
chachina,1,1
centellantes,1,1
castigazo,1,1
carcarañá,1,1
cachetazo,1,1
cacharpa,1,1
atenlo,1,1
arrobadores,1,1
apuñaleado,1,1
apersonaron,1,1
andate,1,1
echenme,1,1
embaucarte,1,1
embromarte,1,1
grandota,1,1
malligasta,1,1
malacara,1,1
llanista,1,1
jujuy,1,1
irrechazable,1,1
incriticable,1,1
hamacaban,1,1
guardamantas,1,1
gualfin,1,1
gondra,1,1
empatilladura,1,1
garroteaban,1,1
fortacho,1,1
febricientes,1,1
famatina,1,1
expedicione,1,1
escoltádolo,1,1
envidiarte,1,1
entrañudos,1,1
entrañudo,1,1
zonzos,1,1
